RG_Sample_Code,Customer_Code,pop,species,pheno,lat,long,alt,geno,,Sample_Code
UPU_119901_P001_WA02,BRI_5,BRI,PA,12,53.26,34.42,149,12,,P001_WA01
UPU_119901_P001_WA03,GERL_5,GERL,PA,8,47,12.262,730,8,,P001_WA02
UPU_119901_P001_WA12,BRI_7,BRI,PA,12,53.26,34.42,149,12,,P001_WA03
UPU_119901_P001_WB04,GERH_10,GERH,PA,10,47.463,12.262,1300,10,,P001_WA04
UPU_119901_P001_WB05,ITAH_8,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA05
UPU_119901_P001_WB06,ITAH_3,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA06
UPU_119901_P001_WB09,ITAL_7,ITAL,PA,8,41.807,13.595,300,8,,P001_WA07
UPU_119901_P001_WB11,BRI_13,BRI,PA,12,53.26,34.42,149,12,,P001_WA08
UPU_119901_P001_WB12,GERL_6,GERL,PA,8,47,12.262,730,8,,P001_WA09
UPU_119901_P001_WC04,ITAH_9,ITAH,PA,11,42.27,13.595,1200,11,,P001_WA10
UPU_119901_P001_WC09,ITAL_5,ITAL,PA,8,41.807,13.595,300,8,,P001_WA11
UPU_119901_P001_WD08,ITAL_1,ITAL,PA,8,41.807,13.595,300,8,,P001_WA12
UPU_119901_P001_WD09,SWE_2,SWE,PA,9,62.063,12.923,1000,9,,P001_WB01
UPU_119901_P001_WD10,GERL_10,GERL,PA,8,47,12.262,730,8,,P001_WB02
UPU_119901_P001_WE03,ITAL_6,ITAL,PA,8,41.807,13.595,300,8,,P001_WB03
UPU_119901_P001_WE04,BRI_8,BRI,PA,12,53.26,34.42,149,12,,P001_WB04
UPU_119901_P001_WE06,GERH_3,GERH,PA,10,47.463,12.262,1300,10,,P001_WB05
UPU_119901_P001_WF01,GERH_1,GERH,PA,10,47.463,12.262,1300,10,,P001_WB06
UPU_119901_P001_WF05,ITAH_10,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB07
UPU_119901_P001_WF08,ITAH_5,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB08
UPU_119901_P001_WF10,SWE_15,SWE,PA,6,61.6,12.923,400,6,,P001_WB09
UPU_119901_P001_WF12,ITAL_11,ITAL,PA,8,41.807,13.595,300,8,,P001_WB10
UPU_119901_P001_WG01,ITAH_7,ITAH,PA,11,42.27,13.595,1200,11,,P001_WB11
UPU_119901_P001_WG07,GERH_4,GERH,PA,10,47.463,12.262,1300,10,,P001_WB12
UPU_119901_P001_WH02,GERL_3,GERL,PA,8,47,12.262,730,8,,P001_WC01
UPU_119901_P001_WH04,ITAH_11,ITAH,PA,11,42.27,13.595,1200,11,,P001_WC02
UPU_119901_P001_WH09,BRI_11,BRI,PA,12,53.26,34.42,149,12,,P001_WC03
UPU_119901_P002_WA04,SWE_10,SWE,PA,6,61.6,12.923,400,6,,P001_WC04
UPU_119901_P002_WA06,SWE_10,SWE,PA,9,62.063,12.923,1000,9,,P001_WC05
UPU_119901_P002_WA10,ITAL_9,ITAL,PA,8,41.807,13.595,300,8,,P001_WC06
UPU_119901_P002_WA11,SWE_3,SWE,PA,9,62.063,12.923,1000,9,,P001_WC07
UPU_119901_P002_WB02,GERH_9,GERH,PA,10,47.463,12.262,1300,10,,P001_WC08
UPU_119901_P002_WB04,GERH_7,GERH,PA,10,47.463,12.262,1300,10,,P001_WC09
UPU_119901_P002_WB05,ITAH_2,ITAH,PA,11,42.27,13.595,1200,11,,P001_WC10
UPU_119901_P002_WC03,ITAL_3,ITAL,PA,8,41.807,13.595,300,8,,P001_WC11
UPU_119901_P002_WC10,BRI_20,BRI,PA,12,53.26,34.42,149,12,,P001_WC12
UPU_119901_P002_WC11,SWE_11,SWE,PA,6,61.6,12.923,400,6,,P001_WD01
UPU_119901_P002_WD02,GERH_8,GERH,PA,10,47.463,12.262,1300,10,,P001_WD02
UPU_119901_P002_WD09,SWE_12,SWE,PA,6,61.6,12.923,400,6,,P001_WD03
UPU_119901_P002_WD10,SWE_2,SWE,PA,6,61.6,12.923,400,6,,P001_WD04
UPU_119901_P002_WD11,ITAH_1,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD05
UPU_119901_P002_WE03,GERH_6,GERH,PA,10,47.463,12.262,1300,10,,P001_WD06
UPU_119901_P002_WE12,SWE_4,SWE,PA,9,62.063,12.923,1000,9,,P001_WD07
UPU_119901_P002_WF03,ITAL_2,ITAL,PA,8,41.807,13.595,300,8,,P001_WD08
UPU_119901_P002_WF04,GERL_9,GERL,PA,8,47,12.262,730,8,,P001_WD09
UPU_119901_P002_WF06,SWE_13,SWE,PA,9,62.063,12.923,1000,9,,P001_WD10
UPU_119901_P002_WF08,ITAH_6,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD11
UPU_119901_P002_WF11,ITAH_4,ITAH,PA,11,42.27,13.595,1200,11,,P001_WD12
UPU_119901_P002_WF12,BRI_18,BRI,PA,12,53.26,34.42,149,12,,P001_WE01
UPU_119901_P002_WG02,BRI_16,BRI,PA,12,53.26,34.42,149,12,,P001_WE02
UPU_119901_P002_WG03,BRI_19,BRI,PA,12,53.26,34.42,149,12,,P001_WE03
UPU_119901_P002_WG05,BRI_4,BRI,PA,12,53.26,34.42,149,12,,P001_WE04
UPU_119901_P002_WG08,GERL_1,GERL,PA,8,47,12.262,730,8,,P001_WE05
UPU_119901_P002_WG09,GERL_2,GERL,PA,8,47,12.262,730,8,,P001_WE06
UPU_119901_P002_WG12,GERH_2,GERH,PA,10,47.463,12.262,1300,10,,P001_WE07
UPU_119901_P002_WH01,SWE_1,SWE,PA,9,62.063,12.923,1000,9,,P001_WE08
UPU_119901_P002_WH04,BRI_2,BRI,PA,12,53.26,34.42,149,12,,P001_WE09
UPU_119901_P002_WH12,GERL_8,GERL,PA,8,47,12.262,730,8,,P001_WE10
UPU_119901_P003_WB07,SEPA15_23,SEPA15,PA,0,64.75,18.29,300,7,,P001_WE11
UPU_119901_P003_WC01,SWE_8,SWE,PA,9,62.063,12.923,1000,9,,P001_WE12
UPU_119901_P003_WC04,GERH_5,GERH,PA,10,47.463,12.262,1300,10,,P001_WF01
UPU_119901_P003_WC06,SWE_5,SWE,PA,9,62.063,12.923,1000,9,,P001_WF02
UPU_119901_P003_WC12,FIPA17_3,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF03
UPU_119901_P003_WD12,FIPA17_4,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF04
UPU_119901_P003_WE04,SWE_9,SWE,PA,9,62.063,12.923,1000,9,,P001_WF05
UPU_119901_P003_WE12,FIPA17_6,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF06
UPU_119901_P003_WF04,BRI_14,BRI,PA,12,53.26,34.42,149,12,,P001_WF07
UPU_119901_P003_WF12,FIPA17_9,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF08
UPU_119901_P003_WG12,FIPA17_12,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF09
UPU_119901_P003_WH01,SWE_2,SWE,PA,6,61.6,12.923,400,6,,P001_WF10
UPU_119901_P003_WH12,FIPA17_17,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF11
UPU_119901_P004_WA01,FIPA17_18,FIPA17,PA,0,66.436,26.686,161,12,,P001_WF12
UPU_119901_P004_WA02,SEPA15_8,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG01
UPU_119901_P004_WB01,FIPA17_20,FIPA17,PA,0,66.436,26.686,161,12,,P001_WG02
UPU_119901_P004_WB02,SEPA15_10,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG03
UPU_119901_P004_WC01,FIPA17_21,FIPA17,PA,0,66.436,26.686,161,12,,P001_WG04
UPU_119901_P004_WC02,SEPA15_12,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG05
UPU_119901_P004_WD01,FIPA17_22,FIPA17,PA,0,66.436,26.686,161,12,,P001_WG06
UPU_119901_P004_WD02,SEPA15_20,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG07
UPU_119901_P004_WE01,FIPA17_23,FIPA17,PA,0,66.436,26.686,161,12,,P001_WG08
UPU_119901_P004_WF01,FIPA17_24,FIPA17,PA,0,66.436,26.686,161,12,,P001_WG09
UPU_119901_P004_WG01,SEPA15_5,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG10
UPU_119901_P004_WH01,SEPA15_7,SEPA15,PA,0,64.75,18.29,300,7,,P001_WG11
UPU_119901_P001_WA01,OKT_19,OKT,PO,17,62.452,66.087,30,15,,P001_WG12
UPU_119901_P001_WA04,TOB_12,TOB,PO,10,58.174,68.375,98,10,,P001_WH01
UPU_119901_P001_WA05,KRA_2,KRA,PO,2,55.985,92.762,217,14,,P001_WH02
UPU_119901_P001_WA06,PAL_10,PAL,PO,12,55.34,58.52,500,12,,P001_WH03
UPU_119901_P001_WA07,EKA_19,EKA,PO,17,56.5,60.35,277,17,,P001_WH04
UPU_119901_P001_WA08,SHA_10,SHA,PO,19,57.14,58.42,342,19,,P001_WH05
UPU_119901_P001_WA09,VYA_6,VYA,PO,20,58.36,49.4,160,20,,P001_WH06
UPU_119901_P001_WA10,BOR_4,BOR,PO,14,61.758,90.049,38,14,,P001_WH07
UPU_119901_P001_WA11,SHA_8,SHA,PO,19,57.14,58.42,342,19,,P001_WH08
UPU_119901_P001_WB01,KM_17,KM,PO,11,61.05,69.253,60,11,,P001_WH09
UPU_119901_P001_WB02,EKA_7,EKA,PO,17,56.5,60.35,277,17,,P001_WH10
UPU_119901_P001_WB03,OKT_14,OKT,PO,17,62.452,66.087,30,15,,P001_WH11
UPU_119901_P001_WB07,TOB_2,TOB,PO,10,58.174,68.375,98,10,,P001_WH12
UPU_119901_P001_WB08,BOR_6,BOR,PO,14,61.758,90.049,38,14,,P002_WA01
UPU_119901_P001_WB10,VYA_15,VYA,PO,20,58.36,49.4,160,20,,P002_WA02
UPU_119901_P001_WC01,OKT_10,OKT,PO,17,62.452,66.087,30,15,,P002_WA03
UPU_119901_P001_WC02,PAL_9,PAL,PO,12,55.34,58.52,500,12,,P002_WA04
UPU_119901_P001_WC03,PAH_17,PAH,PO,20,54.2,58.5,1300,19,,P002_WA05
UPU_119901_P001_WC05,PAL_1,PAL,PO,12,55.34,58.52,500,12,,P002_WA06
UPU_119901_P001_WC06,VYA_7,VYA,PO,20,58.36,49.4,160,20,,P002_WA07
UPU_119901_P001_WC07,BOR_17,BOR,PO,14,61.758,90.049,38,14,,P002_WA08
UPU_119901_P001_WC08,SHA_11,SHA,PO,19,57.14,58.42,342,19,,P002_WA09
UPU_119901_P001_WC10,TUG_14,TUG,PO,18,57.03,64.37,108,18,,P002_WA10
UPU_119901_P001_WC11,PAL_12,PAL,PO,12,55.34,58.52,500,12,,P002_WA11
UPU_119901_P001_WC12,VYA_2,VYA,PO,20,58.36,49.4,160,20,,P002_WA12
UPU_119901_P001_WD01,TOB_7,TOB,PO,10,58.174,68.375,98,10,,P002_WB01
UPU_119901_P001_WD02,TUG_18,TUG,PO,18,57.03,64.37,108,18,,P002_WB02
UPU_119901_P001_WD03,OKT_6,OKT,PO,17,62.452,66.087,30,15,,P002_WB03
UPU_119901_P001_WD04,TUG_9,TUG,PO,18,57.03,64.37,108,18,,P002_WB04
UPU_119901_P001_WD05,PAH_19,PAH,PO,20,54.2,58.5,1300,19,,P002_WB05
UPU_119901_P001_WD06,TUG_3,TUG,PO,18,57.03,64.37,108,18,,P002_WB06
UPU_119901_P001_WD07,VYA_17,VYA,PO,20,58.36,49.4,160,20,,P002_WB07
UPU_119901_P001_WD11,KAZM_13,KAZM,PO,14,64.696,65.608,7,12,,P002_WB08
UPU_119901_P001_WD12,EKA_1,EKA,PO,17,56.5,60.35,277,17,,P002_WB09
UPU_119901_P001_WE01,VYA_5,VYA,PO,20,58.36,49.4,160,20,,P002_WB10
UPU_119901_P001_WE02,EKA_15,EKA,PO,17,56.5,60.35,277,17,,P002_WB11
UPU_119901_P001_WE05,YAR_13,YAR,PO,6,60.244,90.222,52,5,,P002_WB12
UPU_119901_P001_WE07,EKA_12,EKA,PO,17,56.5,60.35,277,17,,P002_WC01
UPU_119901_P001_WE08,KAZM_16,KAZM,PO,14,64.696,65.608,7,12,,P002_WC02
UPU_119901_P001_WE09,PAL_11,PAL,PO,12,55.34,58.52,500,12,,P002_WC03
UPU_119901_P001_WE10,SHA_20,SHA,PO,19,57.14,58.42,342,19,,P002_WC04
UPU_119901_P001_WE11,SHA_3,SHA,PO,19,57.14,58.42,342,19,,P002_WC05
UPU_119901_P001_WE12,PUT_1,PUT,PO,4,65.907,65.909,17,4,,P002_WC06
UPU_119901_P001_WF02,ENI_20,ENI,PO,1,58.453,92.2,71,14,,P002_WC07
UPU_119901_P001_WF03,TUG_1,TUG,PO,18,57.03,64.37,108,18,,P002_WC08
UPU_119901_P001_WF04,SHA_12,SHA,PO,19,57.14,58.42,342,19,,P002_WC09
UPU_119901_P001_WF06,KAZM_18,KAZM,PO,14,64.696,65.608,7,12,,P002_WC10
UPU_119901_P001_WF07,SHA_2,SHA,PO,19,57.14,58.42,342,19,,P002_WC11
UPU_119901_P001_WF09,VYA_8,VYA,PO,20,58.36,49.4,160,20,,P002_WC12
UPU_119901_P001_WF11,PAH_10,PAH,PO,20,54.2,58.5,1300,19,,P002_WD01
UPU_119901_P001_WG02,VYA_1,VYA,PO,20,58.36,49.4,160,20,,P002_WD02
UPU_119901_P001_WG03,SHA_13,SHA,PO,19,57.14,58.42,342,19,,P002_WD03
UPU_119901_P001_WG04,PAL_5,PAL,PO,12,55.34,58.52,500,12,,P002_WD04
UPU_119901_P001_WG05,EKA_20,EKA,PO,17,56.5,60.35,277,17,,P002_WD05
UPU_119901_P001_WG06,TUG_12,TUG,PO,18,57.03,64.37,108,18,,P002_WD06
UPU_119901_P001_WG08,PAH_18,PAH,PO,20,54.2,58.5,1300,19,,P002_WD07
UPU_119901_P001_WG09,SHA_6,SHA,PO,19,57.14,58.42,342,19,,P002_WD08
UPU_119901_P001_WG10,OKT_20,OKT,PO,17,62.452,66.087,30,15,,P002_WD09
UPU_119901_P001_WG11,SHA_18,SHA,PO,19,57.14,58.42,342,19,,P002_WD10
UPU_119901_P001_WG12,OKT_5,OKT,PO,17,62.452,66.087,30,15,,P002_WD11
UPU_119901_P001_WH01,TUG_13,TUG,PO,18,57.03,64.37,108,18,,P002_WD12
UPU_119901_P001_WH03,TUG_8,TUG,PO,18,57.03,64.37,108,18,,P002_WE01
UPU_119901_P001_WH05,PAL_7,PAL,PO,12,55.34,58.52,500,12,,P002_WE02
UPU_119901_P001_WH06,KM_13,KM,PO,11,61.05,69.253,60,11,,P002_WE03
