RG_Sample_Code,Customer_Code,pop,species,pheno,lat,long,alt,geno,,Sample_Code
UPU_119901_P001_WH07,VYA_14,VYA,PO,20,58.36,49.4,160,20,,P002_WE04
UPU_119901_P001_WH08,VYA_18,VYA,PO,20,58.36,49.4,160,20,,P002_WE05
UPU_119901_P001_WH10,OKT_4,OKT,PO,17,62.452,66.087,30,15,,P002_WE06
UPU_119901_P001_WH11,OKT_15,OKT,PO,17,62.452,66.087,30,15,,P002_WE07
UPU_119901_P001_WH12,SHA_16,SHA,PO,19,57.14,58.42,342,19,,P002_WE08
UPU_119901_P002_WA01,EKA_8,EKA,PO,17,56.5,60.35,277,17,,P002_WE09
UPU_119901_P002_WA02,BOR_5,BOR,PO,14,61.758,90.049,38,14,,P002_WE10
UPU_119901_P002_WA03,KAZM_7,KAZM,PO,14,64.696,65.608,7,12,,P002_WE11
UPU_119901_P002_WA05,EKA_14,EKA,PO,17,56.5,60.35,277,17,,P002_WE12
UPU_119901_P002_WA07,BER_3,BER,PO,2,63.927,65.033,32,1,,P002_WF01
UPU_119901_P002_WA08,VYA_3,VYA,PO,20,58.36,49.4,160,20,,P002_WF02
UPU_119901_P002_WA09,TUG_16,TUG,PO,18,57.03,64.37,108,18,,P002_WF03
UPU_119901_P002_WA12,TOB_4,TOB,PO,10,58.174,68.375,98,10,,P002_WF04
UPU_119901_P002_WB01,KRA_10,KRA,PO,2,55.985,92.762,217,14,,P002_WF05
UPU_119901_P002_WB03,TUG_11,TUG,PO,18,57.03,64.37,108,18,,P002_WF06
UPU_119901_P002_WB06,YAR_10,YAR,PO,6,60.244,90.222,52,5,,P002_WF07
UPU_119901_P002_WB07,EKA_17,EKA,PO,17,56.5,60.35,277,17,,P002_WF08
UPU_119901_P002_WB08,VYA_19,VYA,PO,20,58.36,49.4,160,20,,P002_WF09
UPU_119901_P002_WB09,PAL_6,PAL,PO,12,55.34,58.52,500,12,,P002_WF10
UPU_119901_P002_WB10,SHA_4,SHA,PO,19,57.14,58.42,342,19,,P002_WF11
UPU_119901_P002_WB11,PAH_3,PAH,PO,20,54.2,58.5,1300,19,,P002_WF12
UPU_119901_P002_WB12,EKA_16,EKA,PO,17,56.5,60.35,277,17,,P002_WG01
UPU_119901_P002_WC01,KM_9,KM,PO,11,61.05,69.253,60,11,,P002_WG02
UPU_119901_P002_WC02,OKT_12,OKT,PO,17,62.452,66.087,30,15,,P002_WG03
UPU_119901_P002_WC04,KM_2,KM,PO,11,61.05,69.253,60,11,,P002_WG04
UPU_119901_P002_WC05,TUG_5,TUG,PO,18,57.03,64.37,108,18,,P002_WG05
UPU_119901_P002_WC06,SHA_19,SHA,PO,19,57.14,58.42,342,19,,P002_WG06
UPU_119901_P002_WC07,PAL_3,PAL,PO,12,55.34,58.52,500,12,,P002_WG07
UPU_119901_P002_WC08,PAL_2,PAL,PO,12,55.34,58.52,500,12,,P002_WG08
UPU_119901_P002_WC09,PAH_11,PAH,PO,20,54.2,58.5,1300,19,,P002_WG09
UPU_119901_P002_WC12,PAL_4,PAL,PO,12,55.34,58.52,500,12,,P002_WG10
UPU_119901_P002_WD01,OKT_9,OKT,PO,17,62.452,66.087,30,15,,P002_WG11
UPU_119901_P002_WD03,PAL_8,PAL,PO,12,55.34,58.52,500,12,,P002_WG12
UPU_119901_P002_WD04,BOR_2,BOR,PO,14,61.758,90.049,38,14,,P002_WH01
UPU_119901_P002_WD05,SHA_14,SHA,PO,19,57.14,58.42,342,19,,P002_WH02
UPU_119901_P002_WD06,VYA_4,VYA,PO,20,58.36,49.4,160,20,,P002_WH03
UPU_119901_P002_WD07,VYA_16,VYA,PO,20,58.36,49.4,160,20,,P002_WH04
UPU_119901_P002_WD08,VYA_20,VYA,PO,20,58.36,49.4,160,20,,P002_WH05
UPU_119901_P002_WD12,SHA_5,SHA,PO,19,57.14,58.42,342,19,,P002_WH06
UPU_119901_P002_WE01,SHA_7,SHA,PO,19,57.14,58.42,342,19,,P002_WH07
UPU_119901_P002_WE02,TUG_2,TUG,PO,18,57.03,64.37,108,18,,P002_WH08
UPU_119901_P002_WE04,PAH_1,PAH,PO,20,54.2,58.5,1300,19,,P002_WH09
UPU_119901_P002_WE05,EKA_4,EKA,PO,17,56.5,60.35,277,17,,P002_WH10
UPU_119901_P002_WE06,TOB_6,TOB,PO,10,58.174,68.375,98,10,,P002_WH11
UPU_119901_P002_WE07,PAH_13,PAH,PO,20,54.2,58.5,1300,19,,P002_WH12
UPU_119901_P002_WE08,KM_4,KM,PO,11,61.05,69.253,60,11,,P003_WA01
UPU_119901_P002_WE09,BOR_7,BOR,PO,14,61.758,90.049,38,14,,P003_WA02
UPU_119901_P002_WE10,KM_19,KM,PO,11,61.05,69.253,60,11,,P003_WA03
UPU_119901_P002_WE11,TUG_4,TUG,PO,18,57.03,64.37,108,18,,P003_WA04
UPU_119901_P002_WF01,KM_15,KM,PO,11,61.05,69.253,60,11,,P003_WA05
UPU_119901_P002_WF02,PUT_11,PUT,PO,4,65.907,65.909,17,4,,P003_WA06
UPU_119901_P002_WF05,KM_12,KM,PO,11,61.05,69.253,60,11,,P003_WA07
UPU_119901_P002_WF07,TUG_6,TUG,PO,18,57.03,64.37,108,18,,P003_WA08
UPU_119901_P002_WF09,VYA_10,VYA,PO,20,58.36,49.4,160,20,,P003_WA09
UPU_119901_P002_WF10,PAH_6,PAH,PO,20,54.2,58.5,1300,19,,P003_WA10
UPU_119901_P002_WG01,EKA_3,EKA,PO,17,56.5,60.35,277,17,,P003_WA11
UPU_119901_P002_WG04,TUG_7,TUG,PO,18,57.03,64.37,108,18,,P003_WA12
UPU_119901_P002_WG06,TOB_3,TOB,PO,10,58.174,68.375,98,10,,P003_WB01
UPU_119901_P002_WG07,VYA_12,VYA,PO,20,58.36,49.4,160,20,,P003_WB02
UPU_119901_P002_WG10,SHA_17,SHA,PO,19,57.14,58.42,342,19,,P003_WB03
UPU_119901_P002_WG11,KAZM_11,KAZM,PO,14,64.696,65.608,7,12,,P003_WB04
UPU_119901_P002_WH02,TOB_10,TOB,PO,10,58.174,68.375,98,10,,P003_WB05
UPU_119901_P002_WH03,EKA_9,EKA,PO,17,56.5,60.35,277,17,,P003_WB06
UPU_119901_P002_WH05,VYA_9,VYA,PO,20,58.36,49.4,160,20,,P003_WB07
UPU_119901_P002_WH06,OKT_11,OKT,PO,17,62.452,66.087,30,15,,P003_WB08
UPU_119901_P002_WH07,EKA_18,EKA,PO,17,56.5,60.35,277,17,,P003_WB09
UPU_119901_P002_WH08,SHA_9,SHA,PO,19,57.14,58.42,342,19,,P003_WB10
UPU_119901_P002_WH09,BOR_1,BOR,PO,14,61.758,90.049,38,14,,P003_WB11
UPU_119901_P002_WH10,TUG_15,TUG,PO,18,57.03,64.37,108,18,,P003_WB12
UPU_119901_P002_WH11,EKA_11,EKA,PO,17,56.5,60.35,277,17,,P003_WC01
UPU_119901_P003_WA01,YAR_9,YAR,PO,6,60.244,90.222,52,5,,P003_WC02
UPU_119901_P003_WA02,KAZM_12,KAZM,PO,14,64.696,65.608,7,12,,P003_WC03
UPU_119901_P003_WA03,TOB_5,TOB,PO,10,58.174,68.375,98,10,,P003_WC04
UPU_119901_P003_WA04,VYA_11,VYA,PO,20,58.36,49.4,160,20,,P003_WC05
UPU_119901_P003_WA05,BOR_9,BOR,PO,14,61.758,90.049,38,14,,P003_WC06
UPU_119901_P003_WA06,BOR_11,BOR,PO,14,61.758,90.049,38,14,,P003_WC07
UPU_119901_P003_WA07,TUG_10,TUG,PO,18,57.03,64.37,108,18,,P003_WC08
UPU_119901_P003_WA08,KRA_4,KRA,PO,2,55.985,92.762,217,14,,P003_WC09
UPU_119901_P003_WA09,KRA_12,KRA,PO,2,55.985,92.762,217,14,,P003_WC10
UPU_119901_P003_WA10,ENI_21,ENI,PO,1,58.453,92.2,71,14,,P003_WC11
UPU_119901_P003_WA11,TYR_63,TYR,PO,0,65.79,87.976,15,12,,P003_WC12
UPU_119901_P003_WA12,TYR_76,TYR,PO,0,65.79,87.976,15,12,,P003_WD01
UPU_119901_P003_WB01,EKA_6,EKA,PO,17,56.5,60.35,277,17,,P003_WD02
UPU_119901_P003_WB02,YAR_3,YAR,PO,6,60.244,90.222,52,5,,P003_WD03
UPU_119901_P003_WB03,KAZM_6,KAZM,PO,14,64.696,65.608,7,12,,P003_WD04
UPU_119901_P003_WB04,OKT_2,OKT,PO,17,62.452,66.087,30,15,,P003_WD05
UPU_119901_P003_WB05,KM_6,KM,PO,11,61.05,69.253,60,11,,P003_WD06
UPU_119901_P003_WB06,TOB_11,TOB,PO,10,58.174,68.375,98,10,,P003_WD07
UPU_119901_P003_WB08,KRA_5,KRA,PO,2,55.985,92.762,217,14,,P003_WD08
UPU_119901_P003_WB09,ENI_13,ENI,PO,1,58.453,92.2,71,14,,P003_WD09
UPU_119901_P003_WB10,ENI_23,ENI,PO,1,58.453,92.2,71,14,,P003_WD10
UPU_119901_P003_WB11,TYR_65,TYR,PO,0,65.79,87.976,15,12,,P003_WD11
UPU_119901_P003_WB12,TYR_78,TYR,PO,0,65.79,87.976,15,12,,P003_WD12
UPU_119901_P003_WC02,PAH_20,PAH,PO,20,54.2,58.5,1300,19,,P003_WE01
UPU_119901_P003_WC03,KAZM_10,KAZM,PO,14,64.696,65.608,7,12,,P003_WE02
UPU_119901_P003_WC05,KAZM_4,KAZM,PO,14,64.696,65.608,7,12,,P003_WE03
UPU_119901_P003_WC07,PAH_2,PAH,PO,20,54.2,58.5,1300,19,,P003_WE04
UPU_119901_P003_WC08,KRA_6,KRA,PO,2,55.985,92.762,217,14,,P003_WE05
UPU_119901_P003_WC09,ENI_14,ENI,PO,1,58.453,92.2,71,14,,P003_WE06
UPU_119901_P003_WC10,ENI_27,ENI,PO,1,58.453,92.2,71,14,,P003_WE07
UPU_119901_P003_WC11,TYR_66,TYR,PO,0,65.79,87.976,15,12,,P003_WE08
UPU_119901_P003_WD01,YAR_12,YAR,PO,6,60.244,90.222,52,5,,P003_WE09
UPU_119901_P003_WD02,TUG_19,TUG,PO,18,57.03,64.37,108,18,,P003_WE10
UPU_119901_P003_WD03,OKT_8,OKT,PO,17,62.452,66.087,30,15,,P003_WE11
UPU_119901_P003_WD04,PAH_5,PAH,PO,20,54.2,58.5,1300,19,,P003_WE12
UPU_119901_P003_WD05,KAZM_15,KAZM,PO,14,64.696,65.608,7,12,,P003_WF01
UPU_119901_P003_WD06,PAH_16,PAH,PO,20,54.2,58.5,1300,19,,P003_WF02
UPU_119901_P003_WD07,SHA_1,SHA,PO,19,57.14,58.42,342,19,,P003_WF03
UPU_119901_P003_WD08,KRA_7,KRA,PO,2,55.985,92.762,217,14,,P003_WF04
UPU_119901_P003_WD09,ENI_15,ENI,PO,1,58.453,92.2,71,14,,P003_WF05
UPU_119901_P003_WD10,ENI_29,ENI,PO,1,58.453,92.2,71,14,,P003_WF06
UPU_119901_P003_WD11,TYR_67,TYR,PO,0,65.79,87.976,15,12,,P003_WF07
UPU_119901_P003_WE01,BOR_12,BOR,PO,14,61.758,90.049,38,14,,P003_WF08
UPU_119901_P003_WE02,PAH_14,PAH,PO,20,54.2,58.5,1300,19,,P003_WF09
UPU_119901_P003_WE03,EKA_2,EKA,PO,17,56.5,60.35,277,17,,P003_WF10
UPU_119901_P003_WE05,PAH_7,PAH,PO,20,54.2,58.5,1300,19,,P003_WF11
UPU_119901_P003_WE06,PUT_4,PUT,PO,4,65.907,65.909,17,4,,P003_WF12
UPU_119901_P003_WE07,OKT_18,OKT,PO,17,62.452,66.087,30,15,,P003_WG01
UPU_119901_P003_WE08,KRA_8,KRA,PO,2,55.985,92.762,217,14,,P003_WG02
UPU_119901_P003_WE09,ENI_16,ENI,PO,1,58.453,92.2,71,14,,P003_WG03
UPU_119901_P003_WE10,ENI_30,ENI,PO,1,58.453,92.2,71,14,,P003_WG04
UPU_119901_P003_WE11,TYR_69,TYR,PO,0,65.79,87.976,15,12,,P003_WG05
UPU_119901_P003_WF01,BOR_19,BOR,PO,14,61.758,90.049,38,14,,P003_WG06
UPU_119901_P003_WF02,TOB_1,TOB,PO,10,58.174,68.375,98,10,,P003_WG07
UPU_119901_P003_WF03,PAH_9,PAH,PO,20,54.2,58.5,1300,19,,P003_WG08
UPU_119901_P003_WF05,KAZM_8,KAZM,PO,14,64.696,65.608,7,12,,P003_WG09
UPU_119901_P003_WF06,BOR_10,BOR,PO,14,61.758,90.049,38,14,,P003_WG10
UPU_119901_P003_WF07,KRA_1,KRA,PO,2,55.985,92.762,217,14,,P003_WG11
UPU_119901_P003_WF08,KRA_9,KRA,PO,2,55.985,92.762,217,14,,P003_WG12
UPU_119901_P003_WF09,ENI_17,ENI,PO,1,58.453,92.2,71,14,,P003_WH01
UPU_119901_P003_WF10,ENI_31,ENI,PO,1,58.453,92.2,71,14,,P003_WH02
UPU_119901_P003_WF11,TYR_70,TYR,PO,0,65.79,87.976,15,12,,P003_WH03
UPU_119901_P003_WG01,BOR_18,BOR,PO,14,61.758,90.049,38,14,,P003_WH04
UPU_119901_P003_WG02,VYA_13,VYA,PO,20,58.36,49.4,160,20,,P003_WH05
UPU_119901_P003_WG03,KAZM_17,KAZM,PO,14,64.696,65.608,7,12,,P003_WH06
UPU_119901_P003_WG04,PUT_9,PUT,PO,4,65.907,65.909,17,4,,P003_WH07
UPU_119901_P003_WG05,PAH_15,PAH,PO,20,54.2,58.5,1300,19,,P003_WH08
UPU_119901_P003_WG06,KM_16,KM,PO,11,61.05,69.253,60,11,,P003_WH09
UPU_119901_P003_WG07,KRA_2,KRA,PO,2,55.985,92.762,217,14,,P003_WH10
UPU_119901_P003_WG08,KRA_10,KRA,PO,2,55.985,92.762,217,14,,P003_WH11
UPU_119901_P003_WG09,ENI_18,ENI,PO,1,58.453,92.2,71,14,,P003_WH12
UPU_119901_P003_WG10,TYR_60,TYR,PO,0,65.79,87.976,15,12,,P004_WA01
UPU_119901_P003_WG11,TYR_71,TYR,PO,0,65.79,87.976,15,12,,P004_WA02
UPU_119901_P003_WH02,BOR_3,BOR,PO,14,61.758,90.049,38,14,,P004_WB01
UPU_119901_P003_WH03,KM_11,KM,PO,11,61.05,69.253,60,11,,P004_WB02
UPU_119901_P003_WH04,OKT_3,OKT,PO,17,62.452,66.087,30,15,,P004_WC01
UPU_119901_P003_WH05,PAH_4,PAH,PO,20,54.2,58.5,1300,19,,P004_WC02
UPU_119901_P003_WH06,PAH_12,PAH,PO,20,54.2,58.5,1300,19,,P004_WD01
UPU_119901_P003_WH07,KRA_3,KRA,PO,2,55.985,92.762,217,14,,P004_WD02
UPU_119901_P003_WH08,KRA_11,KRA,PO,2,55.985,92.762,217,14,,P004_WE01
UPU_119901_P003_WH09,ENI_20,ENI,PO,1,58.453,92.2,71,14,,P004_WF01
UPU_119901_P003_WH10,TYR_61,TYR,PO,0,65.79,87.976,15,12,,P004_WG01
UPU_119901_P003_WH11,TYR_72,TYR,PO,0,65.79,87.976,15,12,,P004_WH01