SampleID,Latitude,Longitude,Group,Run,SRAStudy
RP333,38.09653,-111.69225,UTA,SRR6823199,SRP134617
RP480,44.60812,-113.57627,WES,SRR6823201,SRP134616
RP477,44.58915,-113.45617,NOR,SRR6823203,SRP134615
RP332,38.65245,-111.94635,UTA,SRR6823197,SRP134618
RP476,44.2524,-113.12078,NOR,SRR6823195,SRP134619
RP475,37.74395,-119.03577,WES,SRR6823259,SRP134587
RP474,37.43397,-118.748,WES,SRR6823269,SRP134582
RP473,37.43133,-118.74947,WES,SRR6823239,SRP134597
RP472,37.43448,-118.74772,WES,SRR6823160,SRP134637
RP470,41.41775,-111.52133,UTA,SRR6823099,SRP134667
RP469,41.45222,-111.50437,UTA,SRR6823192,SRP134621
RP466,44.49063,-111.65457,NA,SRR6823271,SRP134581
RP465,44.60197,-111.4968,NA,SRR6823265,SRP134584
RP464,44.59678,-111.53612,WES,SRR6823267,SRP134583
RP331,40.31362,-111.28025,UTA,SRR6823243,SRP134595
RP463,44.56992,-112.0206,NA,SRR6823241,SRP134596
RP462,44.54178,-112.12652,WES,SRR6823215,SRP134609
RP461,44.5627,-112.143,WES,SRR6823106,SRP134664
RP458,44.8922,-111.65517,Admixed,SRR6823104,SRP134665
RP457,44.88403,-111.75262,NA,SRR6823102,SRP134666
RP456,44.89812,-111.78012,NA,SRR6823245,SRP134594
RP452,45.05487,-111.8392,Admixed,SRR6823121,SRP134656
RP451,45.08575,-111.86405,Admixed,SRR6823169,SRP134633
RP449,45.14195,-111.83497,NA,SRR6823110,SRP134661
RP445,45.45843,-111.85437,WES,SRR6823108,SRP134663
RP330,39.8727,-110.81767,UTA,SRR6823182,SRP134620
RP444,44.67577,-111.27698,NA,SRR6823125,SRP134654
RP443,44.4862,-112.11227,Admixed,SRR6823127,SRP134653
RP442,44.4642,-111.99853,NA,SRR6823229,SRP134602
RP441,44.49355,-111.7673,NA,SRR6823227,SRP134603
RP440,44.54927,-112.0913,Admixed,SRR6823231,SRP134601
RP439,45.34712,-111.52967,WES,SRR6823233,SRP134600
RP437,45.02565,-111.84602,Admixed,SRR6823237,SRP134598
RP436,45.10307,-111.87087,Admixed,SRR6823263,SRP134585
RP435,40.602,-110.34702,UTA,SRR6823261,SRP134586
RP434,38.05188,-112.16805,UTA,SRR6823257,SRP134588
RP329,39.88028,-110.76032,UTA,SRR6823140,SRP134647
RP432,37.97272,-111.8167,UTA,SRR6823138,SRP134648
RP427,41.00083,-110.3781,UTA,SRR6823112,SRP134662
RP425,40.92312,-110.40498,UTA,SRR6823142,SRP134646
RP423,40.95303,-110.46135,UTA,SRR6823150,SRP134642
RP420,40.90998,-110.54825,UTA,SRR6823148,SRP134643
RP419,40.93273,-110.56252,UTA,SRR6823168,SRP134622
RP411,40.93557,-110.70413,UTA,SRR6823170,SRP134632
RP404,38.5814,-111.47893,UTA,SRR6823177,SRP134630
RP399,40.03637,-111.2002,UTA,SRR6823156,SRP134639
RP390,39.31918,-111.47383,UTA,SRR6823146,SRP134644
RP327,39.88347,-110.77562,UTA,SRR6823152,SRP134641
RP389,39.30538,-111.38982,UTA,SRR6823178,SRP134628
RP388,39.385,-111.38755,UTA,SRR6823174,SRP134631
RP386,39.33215,-111.4331,UTA,SRR6823129,SRP134629
RP384,38.06627,-111.63338,UTA,SRR6823115,SRP134659
RP383,38.22057,-112.41435,UTA,SRR6823223,SRP134605
RP379,40.02828,-111.25833,UTA,SRR6823217,SRP134608
RP372,38.75268,-111.65188,UTA,SRR6823225,SRP134604
RP370,40.53378,-110.46438,UTA,SRR6823219,SRP134607
RP367,38.49628,-111.45813,UTA,SRR6823246,SRP134593
RP366,40.29412,-111.2513,UTA,SRR6823221,SRP134606
RP326,38.00497,-111.7126,UTA,SRR6823097,SRP134668
RP365,38.6626,-112.27527,UTA,SRR6823095,SRP134669
RP364,38.59143,-111.9396,UTA,SRR6823091,SRP134671
RP362,38.55042,-111.97152,UTA,SRR6823093,SRP134670
RP361,38.56273,-111.96758,UTA,SRR6823123,SRP134655
RP360,38.53248,-111.95263,UTA,SRR6823119,SRP134657
RP359,38.05977,-111.5913,UTA,SRR6823117,SRP134658
RP358,37.95985,-111.83832,UTA,SRR6823113,SRP134660
RP357,38.67502,-111.94302,UTA,SRR6823162,SRP134636
RP356,38.62688,-111.64732,UTA,SRR6823235,SRP134599
RP355,38.4482,-111.44933,UTA,SRR6823207,SRP134613
RP325,37.879,-111.87043,UTA,SRR6823209,SRP134612
RP354,40.53782,-110.35575,UTA,SRR6823211,SRP134611
RP353,37.83053,-111.88277,UTA,SRR6823213,SRP134610
RP352,37.92872,-111.86618,UTA,SRR6823144,SRP134645
RP350,38.80653,-111.68993,UTA,SRR6823130,SRP134652
RP349,38.81433,-111.66725,UTA,SRR6823132,SRP134651
RP348,38.5093,-111.49668,UTA,SRR6823180,SRP134627
RP347,39.08058,-111.31878,UTA,SRR6823185,SRP134625
RP346,39.08483,-111.33973,UTA,SRR6823183,SRP134626
RP345,38.07008,-112.1417,UTA,SRR6823189,SRP134623
RP344,37.98012,-111.72472,UTA,SRR6823187,SRP134624
RP324,38.21125,-112.42587,UTA,SRR6823205,SRP134614
XX063,37.98497,-111.71963,NA,SRR6823136,SRP134649
RP342,37.94403,-111.69953,UTA,SRR6823134,SRP134650
RP670,37.99905,-111.79477,UTA,SRR6823166,SRP134634
RP340,38.63022,-111.97983,UTA,SRR6823164,SRP134635
RP339,37.98475,-112.22398,UTA,SRR6823158,SRP134638
RP338,40.21893,-111.25043,UTA,SRR6823154,SRP134640
RP337,37.94522,-112.20185,UTA,SRR6823255,SRP134589
RP669,38.47878,-111.45955,UTA,SRR6823253,SRP134590
RP335,38.47513,-111.46083,UTA,SRR6823251,SRP134591
RP668,38.0143,-111.76162,UTA,SRR6823249,SRP134592
XX004,38.81373,-106.39657,NA,SRR6823010,SRP134550
RP488,39.4117,-106.17461,COL,SRR6823017,SRP134543
RP492,38.81373,-106.39657,COL,SRR6823057,SRP134503
RP483,40.19816,-105.54125,COL,SRR6822992,SRP134568
RP522,39.40197,-106.05139,COL,SRR6822993,SRP134567
RP497,39.23732,-106.29311,COL,SRR6823056,SRP134504
RP482,39.64129,-105.87073,COL,SRR6823006,SRP134553
RP012,40.684,-110.9318,UTA,SRR6822999,SRP134561
RP221,38.858,-107.1547,COL,SRR6822998,SRP134562
RP225,45.095,-113.4233,WES,SRR6823003,SRP134557
RP398,39.98658,-111.15397,UTA,SRR6823000,SRP134560
RP227,44.479,-115.3204,WES,SRR6823004,SRP134556
RP234,38.963,-106.9925,COL,SRR6823007,SRP134554
RP237,44.9711,-114.1709,NOR,SRR6823064,SRP134495
RP260,44.3547,-113.3288,NOR,SRR6823076,SRP134483
RP270,44.30075,-107.30578,COL,SRR6823008,SRP134552
RP275,41.22667,-105.38292,COL,SRR6822989,SRP134571
RP279,41.33122,-106.50222,COL,SRR6823061,SRP134499
RP301,38.87026,-106.95197,COL,SRR6823062,SRP134498
RP304,38.99427,-107.06551,Admixed,SRR6823063,SRP134497
RP306,38.86642,-106.91277,COL,SRR6823060,SRP134500
RP363,38.577,-111.94595,UTA,SRR6823078,SRP134481
RP308,38.8788,-106.99912,COL,SRR6823074,SRP134485
RP239,44.9643,-114.1931,NOR,SRR6823079,SRP134496
RP244,46.561,-112.3032,WES,SRR6823077,SRP134482
RP248,44.7734,-114.2488,NOR,SRR6823075,SRP134484
RP251,44.7414,-114.2641,NOR,SRR6823072,SRP134487
RP644,43.812,-114.6199,NOR,SRR6823071,SRP134488
RP290,39.00767,-106.99885,COL,SRR6823070,SRP134489
RP558,39.8351,-105.41198,COL,SRR6822996,SRP134564
RP559,39.8351,-105.41198,COL,SRR6822997,SRP134563
RP560,39.8351,-105.41198,COL,SRR6823073,SRP134486
RP277,42.67313,-108.8769,Admixed,SRR6823041,SRP134515
RP561,39.8351,-105.41198,COL,SRR6822995,SRP134565
RP562,39.8351,-105.41198,COL,SRR6822994,SRP134566
RP563,39.8351,-105.41198,COL,SRR6823048,SRP134512
RP564,39.8351,-105.41198,COL,SRR6822988,SRP134572
RP565,39.8351,-105.41198,COL,SRR6822991,SRP134569
RP566,39.79634,-105.77581,COL,SRR6822990,SRP134570
RP567,39.79634,-105.77581,COL,SRR6823009,SRP134551
RP568,39.79634,-105.77581,COL,SRR6823001,SRP134559
RP265,38.807,-106.5632,COL,SRR6823012,SRP134548
RP280,43.54241,-109.837,UTA,SRR6823011,SRP134549
RP373,38.72395,-111.67807,UTA,SRR6823013,SRP134547
RP281,40.60778,-108.863,COL,SRR6823005,SRP134555
RP291,39.01505,-107.0352,COL,SRR6823002,SRP134558
RP296,38.96992,-107.02673,COL,SRR6823065,SRP134494
RP538,37.36113,-108.25263,COL,SRR6823018,SRP134542
RP188,44.807,-114.2706,WES,SRR6823020,SRP134540
RP193,44.795,-113.7822,WES,SRR6823019,SRP134541
RP468,44.48527,-112.08837,WES,SRR6823021,SRP134539
RP467,44.41103,-112.00128,NA,SRR6823016,SRP134544
RP537,37.4241,-108.37922,COL,SRR6823014,SRP134546
RP294,39.01292,-106.94635,COL,SRR6823015,SRP134545
RP393,39.86445,-111.28653,UTA,SRR6823025,SRP134535
RP401,40.22407,-111.22883,UTA,SRR6823026,SRP134534
RP274,44.28276,-106.9916,COL,SRR6823058,SRP134502
RP532,39.09053,-106.14569,COL,SRR6823027,SRP134533
RP533,39.47185,-106.04304,COL,SRR6823059,SRP134501
RP528,39.36264,-106.31117,COL,SRR6823023,SRP134537
RP514,39.44145,-106.15763,COL,SRR6823022,SRP134538
RP494,39.76282,-105.72963,COL,SRR6823024,SRP134536
RP506,39.66365,-105.87838,COL,SRR6823055,SRP134505
RP496,39.20007,-106.07946,COL,SRR6823053,SRP134507
RP525,39.56659,-105.72413,COL,SRR6823052,SRP134508
RP295,38.99812,-106.9812,COL,SRR6823054,SRP134506
RP484,39.69245,-105.79584,COL,SRR6823032,SRP134528
RP489,39.45788,-106.14469,COL,SRR6823051,SRP134509
RP505,39.66887,-105.88254,COL,SRR6823050,SRP134510
RP495,39.19892,-106.26055,COL,SRR6823036,SRP134521
RP503,39.06762,-106.50527,COL,SRR6823035,SRP134525
RP486,39.35376,-106.21713,COL,SRR6823034,SRP134526
RP507,39.66007,-105.87196,COL,SRR6823031,SRP134529
RP512,39.8669,-105.59512,COL,SRR6823033,SRP134527
RP524,39.90825,-105.55647,COL,SRR6823037,SRP134523
RP491,40.10122,-105.48601,COL,SRR6823038,SRP134524
RP530,39.52868,-106.22016,COL,SRR6823039,SRP134522
RP515,39.60477,-105.90985,COL,SRR6823046,SRP134514
RP499,39.81715,-105.53634,COL,SRR6823047,SRP134513
RP513,39.85218,-105.57111,COL,SRR6823069,SRP134490
RP498,39.89079,-105.48635,COL,SRR6823049,SRP134511
RP502,39.44981,-105.77502,COL,SRR6823066,SRP134493
RP569,39.79634,-105.77581,COL,SRR6823068,SRP134491
RP501,39.77082,-105.81791,COL,SRR6823067,SRP134492
RP508,39.68685,-105.88151,COL,SRR6823040,SRP134520
RP510,39.89605,-105.60204,COL,SRR6823044,SRP134517
RP490,38.76734,-106.31962,COL,SRR6823028,SRP134531
RP527,40.13133,-105.50508,COL,SRR6823030,SRP134530
RP266,44.3051,-113.3128,NOR,SRR6823029,SRP134532
RP516,40.03459,-105.53995,COL,SRR6823045,SRP134519
RP485,40.2572,-105.53355,COL,SRR6823042,SRP134516
RP500,39.61232,-105.71661,COL,SRR6823043,SRP134518
RP232,44.7025,-114.3158,WES,SRR6821995,SRP134362
RP233,45.6022,-113.6825,WES,SRR6821996,SRP134361
RP235,44.3763,-113.4127,NOR,SRR6821994,SRP134363
RP236,39.765,-110.9163,UTA,SRR6822005,SRP134352
RP240,44.7376,-114.2977,NOR,SRR6821999,SRP134358
RP241,44.6835,-114.3425,NOR,SRR6822000,SRP134357
RP242,44.6928,-114.3353,NOR,SRR6821997,SRP134360
RP245,38.768,-106.766,COL,SRR6821998,SRP134359
RP249,44.8409,-114.2742,WES,SRR6822014,SRP134343
RP254,45.17,-113.5205,WES,SRR6822013,SRP134344
RP104,44.426,-112.8945,NOR,SRR6822006,SRP134351
RP255,38.727,-106.7618,COL,SRR6822015,SRP134342
RP256,44.727,-114.6374,NOR,SRR6822017,SRP134340
RP259,44.6211,-114.5079,NOR,SRR6822016,SRP134341
RP261,38.7461,-106.673,COL,SRR6822018,SRP134339
RP262,38.758,-106.6803,COL,SRR6822023,SRP134334
RP264,44.5897,-114.448,NOR,SRR6822050,SRP134306
RP273,42.74451,-106.3251,COL,SRR6822024,SRP134333
RP278,41.33917,-106.37528,COL,SRR6822026,SRP134332
RP368,40.56498,-110.50452,UTA,SRR6822025,SRP134331
RP369,40.55498,-110.48873,UTA,SRR6822033,SRP134324
RP132,44.6435,-114.5416,NOR,SRR6822034,SRP134323
RP375,39.83448,-111.72215,UTA,SRR6822019,SRP134338
RP377,39.87908,-111.68562,UTA,SRR6822021,SRP134336
RP381,39.3141,-111.36673,UTA,SRR6822020,SRP134337
RP382,38.6796,-112.28585,UTA,SRR6822022,SRP134335
RP387,39.31997,-111.41032,UTA,SRR6822072,SRP134285
RP391,39.90688,-111.24165,UTA,SRR6822074,SRP134283
RP392,39.88333,-111.26383,UTA,SRR6822073,SRP134284
RP645,39.8251,-111.35645,UTA,SRR6822071,SRP134286
RP396,39.7489,-111.32355,UTA,SRR6822066,SRP134291
RP646,39.69333,-111.32828,UTA,SRR6822065,SRP134292
RP176,42.475,-110.6166,Admixed,SRR6822057,SRP134300
RP400,40.58565,-110.33055,UTA,SRR6822040,SRP134317
RP402,38.60998,-111.67165,UTA,SRR6822039,SRP134319
RP647,38.45565,-111.45263,UTA,SRR6822044,SRP134313
RP405,38.25455,-112.33197,UTA,SRR6822070,SRP134287
RP648,38.2235,-112.3766,UTA,SRR6822043,SRP134314
RP407,38.26385,-112.38053,UTA,SRR6822068,SRP134289
RP408,38.22568,-112.43942,UTA,SRR6822067,SRP134290
RP409,38.67505,-111.66268,UTA,SRR6822069,SRP134288
RP410,40.91982,-110.76753,UTA,SRR6821984,SRP134372
RP414,40.95693,-110.67597,UTA,SRR6821986,SRP134371
RP183,44.855,-118.2638,WES,SRR6821987,SRP134368
RP417,40.8967,-110.66203,UTA,SRR6821989,SRP134369
RP418,40.94707,-110.5829,UTA,SRR6821988,SRP134370
RP422,40.95707,-110.5039,UTA,SRR6821990,SRP134367
RP426,40.95452,-110.39298,UTA,SRR6821991,SRP134366
RP428,41.01083,-110.35695,UTA,SRR6822027,SRP134330
RP429,40.9819,-110.34542,UTA,SRR6822028,SRP134329
RP430,40.95428,-110.31737,UTA,SRR6822030,SRP134327
RP433,38.61255,-111.96795,UTA,SRR6822029,SRP134328
RP641,44.8867,-111.35628,WES,SRR6822031,SRP134326
RP195,37.8076,-109.8187,COL,SRR6822032,SRP134325
RP448,44.92322,-111.35938,WES,SRR6821985,SRP134373
RP450,45.12525,-111.862,WES,SRR6822046,SRP134311
RP453,44.99228,-111.85813,UTA,SRR6822051,SRP134308
RP455,44.92487,-111.83623,Admixed,SRR6822052,SRP134305
RP459,44.86222,-111.62193,NA,SRR6822049,SRP134307
RP460,40.61595,-111.50738,Admixed,SRR6822047,SRP134310
RP471,41.47532,-111.48393,UTA,SRR6822048,SRP134309
RP649,44.57703,-113.47208,WES,SRR6822045,SRP134312
RP479,44.64368,-113.53183,WES,SRR6822035,SRP134322
XX064,44.95627,-111.85998,NA,SRR6822038,SRP134318
RP220,38.666,-106.8387,COL,SRR6822037,SRP134320
RP581,38.361133,-108.252633,COL,SRR6822053,SRP134304
RP591,38.440633,-107.642283,COL,SRR6822054,SRP134303
RP592,37.648167,-106.651917,COL,SRR6822042,SRP134315
RP593,37.64675,-106.588833,COL,SRR6822041,SRP134316
RP595,37.579183,-108.15705,COL,SRR6822036,SRP134321
RP596,37.369417,-108.078667,COL,SRR6822008,SRP134349
