Dataset,BAM_N
Amaranthus_tuberculatus_Wright_Individual,
Arabidopsis_halleri_Kubota_Individual,0
Arabidopsis_halleri_Rellstab_PoolSeq,5
Arabidopsis_lyrata_Savolainen_Individual,65
Arabidopsis_lyrata_Willi_PoolSeq,
Arabidopsis_thaliana_Gunther_PoolSeq,5
Arabidopsis_thaliana_Roux_PoolSeq,
Arabidopsis_thaliana_Weigel_WGS_IBE,
Arabidopsis_thaliana_Weigel_WGS_SWE,
Arabis_alpina_Rellstab_PoolSeq,6
Boechera_stricta_Mitchell-Olds_Individual,454
Capsela_bursa-pastoris_Lascoux_Individual,
Capsella_rubella_Weigel_Individual,
Cardamine_resedifolia_Rellstab_PoolSeq,
Eucalyptus_albens_Murray_Individual,221
Eucalyptus_magnificata_Murray_Individual,47
Eucalyptus_sideroxylon_Murray_Individual,152
Helianthus_annuus_Todesco_Individual,
Helianthus_argophyllus_Todesco_Individual,
Helianthus_petiolaris_Todesco_Individual,
Larix_occidentalis_CoAdapTree_PoolSeq,
Medicago_truncatula_Tiffin_Individual,19
Panicum_hallii_Lowry_Individual,
Picea_abies_Milesi_Capture,
Picea_obovata_Milesi_Capture,
Pinus_banksiana_CoAdapTree_PoolSeq,
Pinus_sylvestris_Tanja_Capture,102
Populus_tremula_Ingvarsson_Individual,
Populus_trichocarpa_Holliday_Capture,451
Pseudotsuga_menziesii_Coastal_CoAdapTree_PoolSeq,
Pseudotsuga_menziesii_Interior_CoAdapTree_PoolSeq,
Quercus_petraea_Kremer_PoolSeq,18
Populus_deltoides_Kirst_Capture,168