"Orthogroup","Climate Variable","Athaliana Genes","TAIR Genes"
"OG0002257","Mean Temp/Min Temp Coldest Month/Mean Temp Warm Quarter/Mean Temp Cold Quarter/Annual Precip/Precip Cold Quarter","UBQ7","AT2G35635"
"","","AT1G11970","AT1G11970"
"","","RUB3","AT1G11980"
"","","RUB1","AT1G31340"
"OG0001291","Max Temp Warmest Month/Mean Temp Warm Quarter/Mean Temp Cold Quarter","AHBP-1B","AT5G06950"
"","","OBF5","AT5G06960"
"","","TGA6","AT3G12250"
"","","PAN","AT1G68640"
"OG0006144","Annual Precip/Precip Wet Month/Precip Wet Quarter","AT5G16870","AT5G16870"
"","","AT3G03010","AT3G03010"
"OG0007577","Min Temp Coldest Month/Precip Wet Month","AT4G28450","AT4G28450"
"OG0003045","Mean Temp/Isothermality/Temp Seasonality/Min Temp Coldest Month/Temp Range/Mean Temp Wet Quarter/Mean Temp Dry Quarter/Mean Temp Warm Quarter/Mean Temp Cold Quarter/Precip Cold Quarter","PRR7","AT5G02810"
"","","PRR3","AT5G60100"
"OG0002242","Isothermality/Mean Temp Dry Quarter","""ATB BETA""","AT1G17720"
"","","""B ALPHA""","AT1G51690"
"OG0000840","Mean Temp/Mean Temp Cold Quarter","AT5G46150","AT5G46150"
"","","ALIS1","AT3G12740"
"","","AT1G16360","AT1G16360"
"","","AT1G54320","AT1G54320"
"","","ALIS5","AT1G79450"
"OG0004914","Mean Temp/Mean Temp Warm Quarter","SAE1A","AT4G24940"
"","","SAE1B","AT5G50580"
"","","SAE1B","AT5G50680"
"OG0002029","Annual Precip/Precip Seasonality","AT2G18330","AT2G18330"
"","","AT4G36580","AT4G36580"
"","","AT5G16930","AT5G16930"
"","","AT3G03060","AT3G03060"
"OG0001882","Isothermality","AT4G15545","AT4G15545"
"","","AT1G16520","AT1G16520"
"","","AT1G56080","AT1G56080"
"OG0003130","Mean Temp Dry Quarter","AT2G23820","AT2G23820"
"","","AT1G26160","AT1G26160"
"OG0004873","Mean Temp Warm Quarter","AT4G02660","AT4G02660"
"","","SPI","AT1G03060"
"OG0005859","Max Temp Warmest Month","GPS1","AT2G34630"
"OG0006452","Mean Temp Wet Quarter","ELF9","AT5G16260"
"OG0011642","Precip Cold Quarter","AT2G47830","AT2G47830"
"OG0007741","Mean Temp/Min Temp Coldest Month/Mean Temp Warm Quarter","AT1G04200","AT1G04200"
"OG0002080","Mean Temp Wet Quarter/Precip Wet Month/Precip Cold Quarter","SOS1","AT2G01980"
"","","NHX8","AT1G14660"
"OG0004234","Precip Dry Month/Precip Cold Quarter","PCN","AT4G07410"
"","","AT1G27470","AT1G27470"
"OG0002527","Mean Temp Wet Quarter","AT5G02950","AT5G02950"
"","","AT3G09670","AT3G09670"
"OG0004254","Min Temp Coldest Month","AT5G38050","AT5G38050"
"","","AT1G71080","AT1G71080"
"OG0005626","Isothermality","AT3G42050","AT3G42050"
"OG0005666","Precip Seasonality","WAV2","AT5G20520"
"OG0005820","Mean Temp Wet Quarter","PDIL1-6","AT3G16110"
"","","PDIL1-5","AT1G52260"
"OG0008026","Precip Dry Month","RKP","AT2G22010"
"OG0010208","Temp Seasonality","AT1G70620","AT1G70620"
"OG0010411","Isothermality","AT2G03780","AT2G03780"
"OG0004963","Min Temp Coldest Month/Mean Temp Cold Quarter/Precip Seasonality","AT3G17920","AT3G17920"
"","","AT1G48540","AT1G48540"
"OG0002326","Precip Cold Quarter","RVE1","AT5G17300"
"","","RVE2","AT5G37260"
"","","AT3G10113","AT3G10113"
"","","EPR1","AT1G18330"
"OG0002361","Mean Temp","CPN60A","AT2G28000"
"","","Cpn60alpha2","AT5G18820"
"OG0005424","Max Temp Warmest Month","KAO2","AT2G32440"
"","","CYP88A3","AT1G05160"
"OG0008863","Min Temp Coldest Month","GI","AT1G22770"
"OG0012205","Precip Wet Month","AT3G61360","AT3G61360"
"OG0010250","Mean Temp/Max Temp Warmest Month","ALDH22A1","AT3G66658"
"OG0001434","Precip Dry Month","ABCG33","AT2G37280"
"","","ABCG41","AT4G15215"
"","","ABCG30","AT4G15230"
"","","ABCG42","AT4G15233"
"","","ABCG43","AT4G15236"
"","","ABCG37","AT3G53480"
"OG0003057","Isothermality","MTP11","AT2G39450"
"OG0003923","Temp Seasonality","AT2G28490","AT2G28490"
"OG0004305","Precip Seasonality","AT2G41160","AT2G41160"
"","","AT3G56740","AT3G56740"
"OG0004457","Precip Warm Quarter","AT5G49680","AT5G49680"
"","","SAB","AT1G58250"
"OG0005443","Precip Wet Month","AT1G15810","AT1G15810"
"","","AT1G80620","AT1G80620"
"OG0007608","Mean Temp Dry Quarter","AT5G11560","AT5G11560"
"OG0008130","Precip Seasonality","HCF106","AT5G52440"
"OG0009494","Temp Range","AT1G27461","AT1G27461"
"OG0011265","Precip Wet Month","AT4G19390","AT4G19390"
"OG0001175","Mean Temp Dry Quarter","TOM3","AT2G02180"
"","","TOM1","AT4G21790"
"","","THH1","AT1G14530"
"OG0001572","Annual Precip","AT2G36500","AT2G36500"
"","","AT5G50530","AT5G50530"
"","","AT5G50640","AT5G50640"
"","","AT5G63490","AT5G63490"
"","","AT3G52950","AT3G52950"
"OG0001939","Annual Precip","AT5G55860","AT5G55860"
"","","AT1G12150","AT1G12150"
"OG0002848","Precip Cold Quarter","ATSAC1B","AT5G66020"
"","","RHD4","AT3G51460"
"","","SAC8","AT3G51830"
"OG0002903","Isothermality","AT1G20670","AT1G20670"
"","","AT1G76380","AT1G76380"
"OG0003196","Max Temp Warmest Month","NRPB8B","AT3G59600"
"","","NRPB8A","AT1G54250"
"OG0003322","Precip Seasonality","AT4G04790","AT4G04790"
"","","AT4G21880","AT4G21880"
"OG0003769","Mean Temp Dry Quarter","AT5G09580","AT5G09580"
"","","AT1G53345","AT1G53345"
"OG0004033","Precip Seasonality","AT1G17940","AT1G17940"
"","","AT1G73390","AT1G73390"
"OG0004535","Max Temp Warmest Month","AT5G67385","AT5G67385"
"","","AT3G49970","AT3G49970"
"OG0005785","Mean Temp Wet Quarter","AT5G38600","AT5G38600"
"","","AT1G67210","AT1G67210"
"OG0005844","Precip Seasonality","CLASP","AT2G20190"
"OG0006305","Temp Seasonality","AT4G34310","AT4G34310"
"OG0008071","Max Temp Warmest Month","EX2","AT1G27510"
"OG0008142","Temp Seasonality","AT5G58100","AT5G58100"
"OG0008524","Min Temp Coldest Month/Mean Temp Cold Quarter","AT2G26270","AT2G26270"
"","","AT3G43930","AT3G43930"
"OG0001185","Mean Temp Dry Quarter","AT2G42320","AT2G42320"
"","","AT5G06930","AT5G06930"
"","","AT5G43230","AT5G43230"
"","","AT3G01810","AT3G01810"
"","","AT3G57780","AT3G57780"
"OG0001213","Mean Temp Wet Quarter","CCT1","AT2G32260"
"","","CCT2","AT4G15130"
"OG0001271","Mean Temp Wet Quarter","AT4G04260","AT4G04260"
"","","EBS","AT4G22140"
"","","SHL1","AT4G39100"
"OG0004507","Temp Seasonality","GPRI1","AT2G20570"
"","","GLK2","AT5G44190"
"OG0005722","Mean Temp Dry Quarter","VAD1","AT1G02120"
"OG0005827","Mean Temp Wet Quarter","DWF1","AT3G19820"
"OG0006065","Temp Seasonality","ATNTH1","AT2G31450"
"","","NTH2","AT1G05900"
"OG0006560","Mean Temp Dry Quarter","AT2G17540","AT2G17540"
"","","AT4G35510","AT4G35510"
"OG0007143","Precip Seasonality","AT5G09670","AT5G09670"
"","","AT5G64550","AT5G64550"
"OG0007543","Precip Seasonality","CUL4","AT5G46210"
"OG0007812","Mean Temp Dry Quarter","AT3G06530","AT3G06530"
"OG0009181","Max Temp Warmest Month","HSF4","AT4G36990"
"OG0009340","Precip Cold Quarter","ZWI","AT5G65930"
"OG0013067","Precip Warm Quarter","LARP6a","AT5G46250"
"OG0001951","Precip Wet Month","BIM1","AT5G08130"
"","","BIM2","AT1G69010"
"OG0004082","Isothermality","RPN8A","AT5G05780"
"","","MEE34","AT3G11270"
"OG0004902","Min Temp Coldest Month","AT1G20110","AT1G20110"
"OG0005195","Max Temp Warmest Month","AT1G16825","AT1G16825"
"","","AT1G78895","AT1G78895"
"OG0005896","Temp Range","RID3","AT3G49180"
"OG0005961","Max Temp Warmest Month","AT4G17810","AT4G17810"
"OG0007061","Mean Temp Warm Quarter","SPP1","AT3G58490"
"OG0007662","Mean Temp Wet Quarter","FIP37","AT3G54170"
"OG0008285","Temp Seasonality","FAP1","AT3G63170"
"OG0009139","Temp Seasonality","AT4G02725","AT4G02725"
"OG0010215","Isothermality","TSK","AT3G18730"
"OG0010909","Mean Temp Warm Quarter","GalAK","AT3G10700"
"OG0012631","Mean Temp","RAD51B","AT2G28560"
"OG0000331","Precip Cold Quarter","GH3.1","AT2G14960"
"","","GH3.3","AT2G23170"
"","","GH3.9","AT2G47750"
"","","WES1","AT4G27260"
"","","BRU6","AT4G37390"
"","","DFL1","AT5G54510"
"","","GH3.17","AT1G28130"
"","","GH3.4","AT1G59500"
"OG0000412","Precip Cold Quarter","ATC","AT2G27550"
"","","TSF","AT4G20370"
"","","TFL1","AT5G03840"
"","","BFT","AT5G62040"
"","","FT","AT1G65480"
"OG0000950","Mean Temp Warm Quarter","HRD","AT2G36450"
"","","AT5G52020","AT5G52020"
"","","AT1G12630","AT1G12630"
"OG0001668","Tmax Clim Change","AT5G53480","AT5G53480"
"","","AT3G08943","AT3G08943"
"","","AT3G08947","AT3G08947"
"OG0002746","Mean Temp Wet Quarter","AT2G41790","AT2G41790"
"","","AT3G57470","AT3G57470"
"OG0003730","Mean Temp Dry Quarter","AT5G07710","AT5G07710"
"","","AT5G61390","AT5G61390"
"","","AT1G74390","AT1G74390"
"OG0003921","Mean Temp Dry Quarter","PMP22","AT4G04470"
"","","AT4G14305","AT4G14305"
"OG0006902","Mean Temp Cold Quarter","AT1G67120","AT1G67120"
"OG0007959","Precip Cold Quarter","AT2G44525","AT2G44525"
"","","AT3G60150","AT3G60150"
"OG0008137","Precip Wet Month","PEX5","AT5G56290"
"OG0008170","Precip Cold Quarter","ATH13","AT5G64940"
"OG0008497","Temp Range","AT2G43770","AT2G43770"
"OG0010195","Mean Temp Dry Quarter","POD1","AT1G67960"
"OG0012174","Temp Range","COX10","AT2G44520"
"OG0004502","Annual Precip/Precip Wet Month","AT4G15165","AT4G15165"
"","","PAC1","AT3G22110"
"OG0000202","Temp Range","AT4G25300","AT4G25300"
"","","AT4G25310","AT4G25310"
"","","AT1G17010","AT1G17010"
"","","SRG1","AT1G17020"
"","","AT1G78550","AT1G78550"
"OG0000401","Precip Wet Month","CIPK3","AT2G26980"
"","","CIPK8","AT4G24400"
"","","CIPK26","AT5G21326"
"","","SOS2","AT5G35410"
"","","CIPK9","AT1G01140"
"","","CIPK23","AT1G30270"
"OG0003782","Precip Warm Quarter","ANL2","AT4G00730"
"","","HDG1","AT3G61150"
"OG0004583","Mean Temp","AT5G13250","AT5G13250"
"","","AT1G28080","AT1G28080"
"OG0007641","Precip Dry Month","IAA33","AT5G57420"
"OG0012544","Precip Cold Quarter","AT1G13630","AT1G13630"
"OG0002367","Precip Seasonality","AT5G14285","AT5G14285"
"","","AT3G25950","AT3G25950"
"","","AT3G27270","AT3G27270"
